Parcel,Street Num,Street,Zip,Width,Depth,Acres,Type,Zone,Price
0761140A000360,4912,SHAYNE,38109,30,144,0.224,VCNT LAND,R-6,$600.00
8301700000000,0,WARFORD,38128,115,22,0.094,VCNT LAND,R-10,$50.00
8400400000000,3035,FRAYSER-RALEIG,38128,85,192,0.432,VCNT LAND,R-6,"$1,200.00"
9002700000000,3863,WHITE OWL,38128,0,0,0.014,VCNT LAND,RU-,$100.00
9002700000000,4620,WHITE OWL,38128,0,0,0.016,VCNT LAND,RU-,$100.00
9002700000000,4604,WHITE OWL,38128,0,0,0.015,VCNT LAND,RU-,$100.00
9002700000000,4581,WHITE OWL,38128,0,0,0.014,VCNT LAND,RU-,$100.00
9002700000000,4619,WHITE OWL,38128,0,0,0.013,VCNT LAND,RU-,$100.00
9002700000000,3870,EAGLE NEST,38128,0,0,0.016,VCNT LAND,RU-,$100.00
9002700000000,3899,DAFFODIL,38128,0,0,0.012,VCNT LAND,RU-,$200.00
D0134J0C000090,5089,BOWDOIN,38127,60,120,0.167,VCNT LAND,R-6,"$1,000.00"
D0134J0C000100,5095,BOWDOIN,38127,60,120,0.168,VCNT LAND,R-6,"$1,000.00"
M0115I0H000470,0,MARTHA,38053,86,79,0.076,VCNT LAND,R-2,$500.00
